idCollect,accx,accy,accz,rmsx,rmsy,rmsz,temp,data,Gateway_idGateway,Place_idPlace,status
17035,0.59912109375,0.984130859375,0.451171875,0.162841796875,0.281982421875,1.0087890625,41.091764705882355,2019-06-15 19:09:57,1,1,0
17036,0.6259765625,1.066650390625,0.440185546875,0.1937255859375,0.33984375,1.0411376953125,41.04176470588236,2019-06-15 19:10:57,1,1,0
17037,0.66748046875,1.17578125,0.4052734375,0.1893310546875,0.3037109375,1.010009765625,40.947647058823534,2019-06-15 19:12:00,1,1,0
17038,0.37451171875,1.126953125,0.450439453125,0.1444091796875,0.2987060546875,1.0118408203125,40.941764705882356,2019-06-15 19:13:59,1,1,0
17039,0.587646484375,1.500244140625,0.41552734375,0.18212890625,0.3380126953125,1.003173828125,40.95058823529412,2019-06-15 19:14:57,1,1,0
17040,0.679443359375,0.921630859375,0.340087890625,0.18701171875,0.2230224609375,0.9859619140625,41.03,2019-06-15 19:15:59,1,1,0
17041,0.535400390625,1.098876953125,0.48388671875,0.1497802734375,0.28466796875,1.0389404296875,41.1064705882353,2019-06-15 19:16:58,1,1,0
17042,0.5654296875,1.364501953125,0.403076171875,0.156005859375,0.309814453125,0.9879150390625,41.191764705882356,2019-06-15 19:17:59,1,1,0
17043,0.656982421875,1.2548828125,0.55078125,0.1661376953125,0.3714599609375,0.9581298828125,41.29470588235294,2019-06-15 19:18:59,1,1,0
17044,0.75,0.86767578125,0.4326171875,0.2283935546875,0.216552734375,1.020751953125,41.38294117647059,2019-06-15 19:19:57,1,1,0
17045,0.8173828125,1.00146484375,0.258056640625,0.2042236328125,0.2403564453125,0.99169921875,41.39764705882353,2019-06-15 19:21:01,1,1,0
17046,0.65234375,1.096435546875,0.44970703125,0.198974609375,0.28076171875,1.0025634765625,41.43882352941176,2019-06-15 19:21:57,1,1,0
17047,0.75341796875,1.06494140625,0.48876953125,0.18994140625,0.277099609375,0.9903564453125,41.52411764705882,2019-06-15 19:23:57,1,1,0
17048,0.595703125,1.071533203125,0.455078125,0.158203125,0.3428955078125,0.947021484375,41.58882352941177,2019-06-15 19:24:57,1,1,0
17049,0.521728515625,1.2470703125,0.39453125,0.1644287109375,0.2579345703125,0.97998046875,41.7064705882353,2019-06-15 19:25:57,1,1,0
17050,0.4755859375,1.05517578125,0.564208984375,0.1700439453125,0.2503662109375,1.0020751953125,41.768235294117645,2019-06-15 19:26:57,1,1,0
17051,0.4873046875,1.237548828125,0.494873046875,0.1458740234375,0.3443603515625,0.958740234375,41.88294117647059,2019-06-15 19:27:58,1,1,0
17052,0.564697265625,0.985595703125,0.43408203125,0.1573486328125,0.2728271484375,0.9560546875,41.96529411764706,2019-06-15 19:28:59,1,1,0
17053,0.68359375,1.259765625,0.44482421875,0.167724609375,0.3197021484375,1.0301513671875,42.04176470588236,2019-06-15 19:29:57,1,1,0
17054,0.43310546875,1.228759765625,0.5439453125,0.145263671875,0.3511962890625,0.965576171875,42.03,2019-06-15 19:30:58,1,1,0
17055,0.611328125,1.013427734375,0.42529296875,0.16796875,0.2603759765625,0.976806640625,42.00941176470588,2019-06-15 19:31:57,1,1,0
17056,0.518310546875,1.302490234375,0.504638671875,0.141357421875,0.3287353515625,0.9344482421875,42.05058823529412,2019-06-15 19:35:00,1,1,0
17057,0.49169921875,1.1669921875,0.4111328125,0.147216796875,0.2725830078125,1.0003662109375,42.1064705882353,2019-06-15 19:36:00,1,1,0
17058,0.56884765625,1.050537109375,0.52099609375,0.1790771484375,0.3355712890625,1.0438232421875,42.09470588235294,2019-06-15 19:36:58,1,1,0
17059,0.67724609375,1.0439453125,0.44677734375,0.1881103515625,0.248779296875,1.0347900390625,42.09764705882353,2019-06-15 19:38:01,1,1,0
17060,0.676513671875,0.90771484375,0.43798828125,0.17333984375,0.311767578125,0.9783935546875,42.07705882352941,2019-06-15 19:38:58,1,1,0
17061,0.582763671875,1.02392578125,0.46826171875,0.17578125,0.2735595703125,1.0286865234375,41.994705882352946,2019-06-15 19:39:59,1,1,0
17062,0.562255859375,0.857421875,0.43505859375,0.1304931640625,0.29833984375,0.9544677734375,41.97705882352941,2019-06-15 19:40:57,1,1,0
17063,0.682861328125,1.26220703125,0.606689453125,0.1683349609375,0.3861083984375,0.98681640625,41.96235294117647,2019-06-15 19:41:57,1,1,0
17064,0.538330078125,0.72265625,0.39208984375,0.1810302734375,0.191650390625,0.968505859375,41.94470588235294,2019-06-15 19:42:58,1,1,0
17065,0.6982421875,0.920166015625,0.588134765625,0.218994140625,0.2298583984375,1.017578125,41.93294117647059,2019-06-15 19:43:57,1,1,0
17066,0.5927734375,0.9951171875,0.41796875,0.14306640625,0.29150390625,0.9556884765625,41.91529411764706,2019-06-15 19:44:57,1,1,0
17067,0.623046875,0.759033203125,0.4345703125,0.1549072265625,0.207763671875,0.9368896484375,41.93,2019-06-15 19:45:57,1,1,0
17068,0.5771484375,0.971435546875,0.5087890625,0.130859375,0.275634765625,1.016357421875,41.894705882352945,2019-06-15 19:46:59,1,1,0
17069,0.4619140625,0.901123046875,0.304443359375,0.108154296875,0.27294921875,0.9678955078125,41.874117647058824,2019-06-15 19:48:01,1,1,0
17070,0.466796875,0.917724609375,0.3984375,0.1768798828125,0.340087890625,1.0740966796875,41.85058823529412,2019-06-15 19:48:58,1,1,0
17071,0.454833984375,0.843994140625,0.378173828125,0.1544189453125,0.2412109375,1.052001953125,41.83588235294118,2019-06-15 19:49:58,1,1,0
